16, 1123.0, 589.0, 1194.0, 678.0
24, 533.0, 580.0, 590.0, 676.0
39, 1054.0, 582.0, 1124.0, 674.0
179, 237.0, 576.0, 301.0, 623.0
197, 362.0, 592.0, 437.0, 696.0
264, 1107.0, 580.0, 1168.0, 658.0
296, 212.0, 593.0, 286.0, 680.0
306, 949.0, 585.0, 1018.0, 669.0
308, 800.0, 581.0, 864.0, 665.0
346, 891.0, 584.0, 949.0, 667.0
392, 547.0, 579.0, 606.0, 617.0
438, 475.0, 581.0, 522.0, 607.0
438, 295.0, 593.0, 376.0, 700.0
456, 1041.0, 583.0, 1114.0, 678.0
470, 759.0, 577.0, 823.0, 648.0
472, 770.0, 574.0, 817.0, 615.0
476, 969.0, 578.0, 1031.0, 662.0
527, 419.0, 578.0, 496.0, 680.0
599, 303.0, 580.0, 373.0, 675.0
617, 914.0, 581.0, 975.0, 669.0
646, 1051.0, 580.0, 1122.0, 668.0
669, 992.0, 571.0, 1036.0, 605.0
696, 292.0, 575.0, 351.0, 622.0
712, 591.0, 577.0, 641.0, 607.0
760, 923.0, 578.0, 987.0, 665.0
817, 291.0, 593.0, 372.0, 697.0
841, 689.0, 580.0, 758.0, 669.0
874, 816.0, 578.0, 875.0, 663.0
910, 1230.0, 581.0, 1289.0, 674.0
930, 983.0, 578.0, 1044.0, 641.0
934, 219.0, 581.0, 277.0, 664.0
935, 398.0, 581.0, 444.0, 608.0
944, 896.0, 578.0, 959.0, 633.0
955, 694.0, 579.0, 740.0, 607.0
960, 1002.0, 581.0, 1073.0, 672.0
989, 597.0, 581.0, 652.0, 614.0
