0, 1, 2, 3
1, 1, 22.513351440429688, 59.85787582397461
1, 2, 79.51339721679688, 17.553653717041016
1, 3, 104.15857696533203, 230.31845092773438
1, 4, 36.01709747314453, 82.43245697021484
1, 5, 0.0, 0.0
1, 6, 128.22491455078125, 129.81948852539062
1, 7, 54.96710968017578, 119.22526550292969
1, 8, 17.50348663330078, 43.99139404296875
1, 9, -0.3964540958404541, 15.875995635986328
1, 10, 0.0, 0.0
1, 11, 78.04374694824219, 104.49502563476562
5, 1, 83.16522979736328, 18.439510345458984
5, 2, 22.866798400878906, 60.262451171875
5, 3, 41.497711181640625, 68.98821258544922
5, 4, 130.32119750976562, 131.6905517578125
5, 5, 86.83392333984375, 157.1500244140625
5, 6, 0.0, 0.0
5, 7, 59.826194763183594, 128.81674194335938
5, 8, 9.4061279296875, 45.58835983276367
5, 9, 0.0, 0.0
5, 10, 20.303630828857422, 30.034908294677734
5, 11, 49.34576416015625, 56.23689651489258
9, 1, 86.29670715332031, 18.908769607543945
9, 2, 134.38641357421875, 140.0601806640625
9, 3, 22.182334899902344, 59.98835754394531
9, 4, 58.38216781616211, 131.15365600585938
9, 5, 38.08216857910156, 64.77127838134766
9, 6, 84.04446411132812, 150.99330139160156
9, 7, 50.26763153076172, 61.319068908691406
9, 8, 11.283687591552734, 49.54790115356445
9, 9, 0.0, 0.0
9, 10, 0.0, 0.0
9, 11, 0.0, 0.0
13, 1, 85.72517395019531, 16.67735481262207
13, 2, 59.20552062988281, 130.81756591796875
13, 3, 84.80521392822266, 153.84298706054688
13, 4, 135.38018798828125, 140.02410888671875
13, 5, 21.86245346069336, 63.71089553833008
13, 6, 39.78423309326172, 66.32418060302734
13, 7, 49.208946228027344, 60.59752655029297
13, 8, 0.0, 0.0
13, 9, 11.289999008178711, 48.11547088623047
13, 10, 0.0, 0.0
13, 11, 49.50192642211914, 58.910926818847656
13, 12, 0.0, 0.0
17, 1, 89.33008575439453, 16.052486419677734
17, 2, 60.829185485839844, 137.0272674560547
17, 3, 38.95417022705078, 66.65037536621094
17, 4, 57.67713928222656, 63.5015869140625
17, 5, 22.112247467041016, 58.45783233642578
