                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.0502,                 1.0762,                 1.0109,                0.87101,                0.76168,                0.82064,                0.32323,                 2.1408,                 1.0632,                 1.0263,               0.001538,               0.001538,               0.001538
                     38,                 2.0072,                  1.055,                 1.0171,                0.82147,                 0.7456,                0.80287,                0.31683,                 2.0216,                 1.0679,                 1.0058,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.9941,                 1.0584,                  1.007,                0.87345,                 0.7971,                0.85146,                0.35162,                 1.9426,                 1.0365,                0.98834,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.9721,                 1.0415,                0.99336,                0.89172,                 0.8299,                0.87895,                0.41573,                 1.8117,                0.93819,                0.95393,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.9641,                 1.0084,                 1.0142,                0.91475,                0.82722,                0.88307,                0.40997,                 1.8398,                0.92885,                0.95524,              0.0014852,              0.0014852,              0.0014852
                     42,                  1.932,                0.98755,                0.98755,                0.95125,                 0.8308,                0.89768,                0.43104,                 1.7593,                0.90078,                0.94791,               0.001472,               0.001472,               0.001472
                     43,                 1.9055,                0.99158,                0.97398,                0.94855,                0.81737,                0.88272,                0.35868,                 1.8592,                0.98335,                0.97679,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.9051,                0.96872,                0.98916,                0.94764,                0.82629,                0.89515,                0.42563,                  1.764,                0.95364,                0.96382,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.8523,                0.97032,                 0.9925,                0.95516,                0.83908,                0.89639,                0.44754,                 1.7993,                0.93285,                0.97164,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.9424,                0.94699,                0.97694,                 0.9541,                0.83744,                0.89577,                 0.4464,                 1.8102,                0.93243,                0.97111,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.8136,                0.95565,                0.98556,                0.95018,                 0.8366,                0.89599,                0.45599,                 1.7188,                0.91463,                0.94818,               0.001406,               0.001406,               0.001406
                     48,                 1.7925,                0.95525,                0.96366,                0.95949,                0.82703,                0.90102,                 0.4484,                 1.6783,                0.91186,                0.94366,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.8096,                0.96223,                0.98174,                0.95664,                0.82957,                0.90122,                0.45326,                 1.6848,                0.88909,                0.94359,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.7766,                0.94069,                0.98186,                0.94272,                0.83983,                0.89715,                0.46709,                 1.6872,                0.85854,                0.93589,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.8321,                0.93851,                0.97169,                0.93826,                0.84356,                0.89649,                0.46995,                  1.668,                0.84239,                0.93211,              0.0013532,              0.0013532,              0.0013532
